CbTagName;date;ed
CB First Floor;29/10/2018;56
CB First Floor;30/10/2018;66
CB First Floor;31/10/2018;64
CB First Floor;01/11/2018;38
CB First Floor;02/11/2018;39
CB First Floor;03/11/2018;36
CB First Floor;04/11/2018;36
CB First Floor;05/11/2018;56
CB First Floor;06/11/2018;57
CB First Floor;07/11/2018;57
CB First Floor;08/11/2018;55
CB First Floor;09/11/2018;56
CB First Floor;10/11/2018;39
CB First Floor;11/11/2018;37
CB First Floor;12/11/2018;59
CB First Floor;13/11/2018;58
CB First Floor;14/11/2018;56
CB First Floor;15/11/2018;59
CB First Floor;16/11/2018;66
CB First Floor;17/11/2018;53
CB First Floor;18/11/2018;57
CB First Floor;19/11/2018;79
CB First Floor;20/11/2018;77
CB First Floor;21/11/2018;76
CB First Floor;22/11/2018;69
CB First Floor;23/11/2018;67
CB First Floor;24/11/2018;46
CB First Floor;25/11/2018;46
CB First Floor;26/11/2018;65
CB First Floor;27/11/2018;70
CB First Floor;28/11/2018;77
CB First Floor;29/11/2018;74
CB First Floor;30/11/2018;76
CB First Floor;01/12/2018;61
CB First Floor;02/12/2018;61
CB First Floor;03/12/2018;76
CB First Floor;04/12/2018;81
CB First Floor;05/12/2018;79
CB First Floor;06/12/2018;75
CB First Floor;07/12/2018;75
CB First Floor;08/12/2018;65
CB First Floor;09/12/2018;66
CB First Floor;10/12/2018;89
CB First Floor;11/12/2018;90
CB First Floor;12/12/2018;92
CB First Floor;13/12/2018;92
CB First Floor;14/12/2018;86
CB First Floor;15/12/2018;53
CB First Floor;16/12/2018;65
CB First Floor;17/12/2018;87
CB First Floor;18/12/2018;92
CB First Floor;19/12/2018;90
CB First Floor;20/12/2018;89
CB First Floor;21/12/2018;66
CB First Floor;22/12/2018;55
CB First Floor;23/12/2018;59
CB First Floor;24/12/2018;59
CB First Floor;25/12/2018;64
CB First Floor;26/12/2018;63
CB First Floor;27/12/2018;67
CB First Floor;28/12/2018;65
CB First Floor;29/12/2018;62
CB First Floor;30/12/2018;63
CB First Floor;31/12/2018;63
CB First Floor;01/01/2019;61
CB First Floor;02/01/2019;74
CB First Floor;03/01/2019;79
CB First Floor;04/01/2019;78
CB First Floor;05/01/2019;64
CB First Floor;06/01/2019;62
CB First Floor;07/01/2019;83
CB First Floor;08/01/2019;82
CB First Floor;09/01/2019;83
CB First Floor;10/01/2019;85
CB First Floor;11/01/2019;84
CB First Floor;12/01/2019;51
CB First Floor;13/01/2019;63
CB First Floor;14/01/2019;89
CB First Floor;15/01/2019;92
CB First Floor;16/01/2019;87
CB First Floor;17/01/2019;82
CB First Floor;18/01/2019;81
CB First Floor;19/01/2019;62
