CbTagName;date;ed
CB Second Floor;23/02/201-12;66
CB Second Floor;23/02/201-13;66
CB Second Floor;23/02/201-14;68
CB Second Floor;23/02/201-15;68
CB Second Floor;23/02/201-16;67
CB Second Floor;23/02/201-17;69
CB Second Floor;23/02/201-18;69
CB Second Floor;23/02/201-19;69
CB Second Floor;23/02/201-20;68
CB Second Floor;23/02/201-21;69
CB Second Floor;23/02/201-22;69
CB Second Floor;23/02/201-23;69
CB Second Floor;24/02/201-00;70
CB Second Floor;24/02/201-01;69
CB Second Floor;24/02/201-02;71
CB Second Floor;24/02/201-03;71
CB Second Floor;24/02/201-04;71
CB Second Floor;24/02/201-05;69
CB Second Floor;24/02/201-06;71
CB Second Floor;24/02/201-07;69
CB Second Floor;24/02/201-08;70
CB Second Floor;24/02/201-09;68
CB Second Floor;24/02/201-10;69
CB Second Floor;24/02/201-11;67
CB Second Floor;24/02/201-12;69
CB Second Floor;24/02/201-13;68
CB Second Floor;24/02/201-14;68
CB Second Floor;24/02/201-15;69
CB Second Floor;24/02/201-16;67
CB Second Floor;24/02/201-17;69
CB Second Floor;24/02/201-18;67
CB Second Floor;24/02/201-19;67
CB Second Floor;24/02/201-20;68
CB Second Floor;24/02/201-21;67
CB Second Floor;24/02/201-22;68
CB Second Floor;24/02/201-23;69
CB Second Floor;25/02/201-00;68
CB Second Floor;25/02/201-01;68
CB Second Floor;25/02/201-02;69
CB Second Floor;25/02/201-03;69
CB Second Floor;25/02/201-04;69
CB Second Floor;25/02/201-05;70
CB Second Floor;25/02/201-06;75
CB Second Floor;25/02/201-07;86
CB Second Floor;25/02/201-08;95
CB Second Floor;25/02/201-09;97
CB Second Floor;25/02/201-10;96
CB Second Floor;25/02/201-11;98
CB Second Floor;25/02/201-12;108
CB Second Floor;25/02/201-13;114
CB Second Floor;25/02/201-14;99
CB Second Floor;25/02/201-15;94
CB Second Floor;25/02/201-16;92
CB Second Floor;25/02/201-17;91
CB Second Floor;25/02/201-18;83
CB Second Floor;25/02/201-19;75
CB Second Floor;25/02/201-20;73
CB Second Floor;25/02/201-21;66
CB Second Floor;25/02/201-22;68
CB Second Floor;25/02/201-23;69
